#,Token,Symbol,Address,Reputation,Labels,Symbol_lower,Rank,Asset,Symbol_y,Price,Marketcap,Category,Sector,Tags,similarity,type,Category_clean,duplicated
10,Wrapped TON Coin,TONCOIN,0x582d872a1b094fc48f5de31d3b73f2d9be47def1,OK,,toncoin,25,Toncoin,TON,$2.99,$7.46B,Networks,Smart Contract Platform,"['Proof-of-Stake', 'SEC Alleged Securities']",,Protocol,Networks,
11,SHIBA INU,SHIB,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,NEUTRAL,['Shiba Inu'],shib,19,Shiba Inu,SHIB,$0.00,$8.54B,Cryptocurrency,Cryptocurrency,"['Dog-Themed', 'Meme']",38,Cryptocurrency,Cryptocurrency,
12,USDS Stablecoin,USDS,0xdc035d45d973e3ec169d2276ddab16f1e407384f,,,usds,28,Sky Dollar,USDS,$1.00,$6.59B,Cryptocurrency,Stablecoins,"['Decentralized Issuer', 'U.S. Dollar Stablecoin']",33,Cryptocurrency,Stablecoins,
13,Wrapped eETH,weETH,0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee,NEUTRAL,"['ether.fi', 'Liquid staking']",weeth,30,Wrapped eETH,weeth,"$2,656.77",$6.04B,Synthetic Assets,Wrapped Assets,"['DeFi', 'Ethereum Liquid Staking Asset']",100,Synthetic,Wrapped Assets,
14,Polkadot (IBC),DOT,0x21c2c96dbfa137e23946143c71ac8330f9b44001,,,dot,27,Polkadot,DOT,$4.47,$6.87B,Networks,Layer-0,['Proof-of-Stake'],100,Protocol,Networks,
15,USDe,USDe,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,NEUTRAL,['Stablecoin'],usde,33,Ethena USDe,USDe,$1.00,$5.21B,Cryptocurrency,Stablecoins,['U.S. Dollar Stablecoin'],100,Cryptocurrency,Stablecoins,
16,BitgetToken,BGB,0x54d2252757e1672eead234d27b1270728ff90581,,,bgb,29,Bitget Token,BGB,$5.41,$6.38B,Marketplaces,Exchange,"['CeFi', 'Centralized Exchange']",91,Protocol,Marketplaces,
17,Pepe,PEPE,0x6982508145454ce325ddbe47a25d4ec3d2311933,NEUTRAL,['MEME'],pepe,31,Pepe,PEPE,$0.00,$5.70B,Cryptocurrency,Cryptocurrency,['Meme'],100,Cryptocurrency,Cryptocurrency,TRUE
18,Coinbase Wrapped BTC,cbBTC,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,,,cbbtc,34,Coinbase Wrapped BTC,cbBTC,"$107,396.46",$4.52B,Synthetic Assets,Wrapped Assets,"['DeFi', 'Wrapped Bitcoin Asset']",100,Synthetic,Wrapped Assets,
19,Aave Token,AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,OK,"['Aave', 'DeFi', 'Loans']",aave,35,Aave,AAVE,$264.49,$4.03B,Marketplaces,Lending,"['DAO', 'Decentralized Lender']",100,Protocol,Marketplaces,
20,Staked Aave,stkAAVE,0x4da27a545c0c5b758a6ba100e3a049001de870f5,,,stkaave,,,,,,Synthetic Assets,Liquid Staking Tokens,,0,Synthetic,Liquid Staking Tokens,
21,Uniswap,UNI,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,OK,['DEX'],uni,38,Uniswap,UNI,$5.96,$3.61B,Marketplaces,Exchange,"['Automated Market Maker (AMM)', 'DAO']",100,Protocol,Marketplaces,
22,Dai Stablecoin,DAI,0x6b175474e89094c44da98b954eedeac495271d0f,OK,"['Sky', 'Stablecoin', 'DeFi']",dai,37,Dai,DAI,$1.00,$3.69B,Cryptocurrency,Stablecoins,"['CDP', 'Decentralized Issuer']",100,Cryptocurrency,Stablecoins,
23,Staked USDe,sUSDe,0x9d39a5de30e57443bff2a8307a4256c8797a3497,NEUTRAL,"['Ethena', 'Stablecoin']",susde,48,Ethena Staked USDe,susde,$1.18,$2.64B,Synthetic Assets,Collateral Assets,"['Stakeable', 'U.S. Dollar Stablecoin']",100,Synthetic,Collateral Assets,
24,NEAR,NEAR,0x85f17cf997934a597031b2e18a9ab6ebd4b9f6a4,,,near,39,NEAR,NEAR,$2.72,$3.35B,Networks,Smart Contract Platform,"['Proof-of-Stake', 'SEC Alleged Securities']",100,Protocol,Networks,
25,Cronos Coin,CRO,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,NEUTRAL,['Payments'],cro,51,Cronos,CRO,$0.10,$2.53B,Networks,Smart Contract Platform,"['Centralized Exchange', 'Cosmos SDK']",100,Protocol,Networks,
26,OKB,OKB,0x75231f58b43240c9718dd58b4967c5114342a86c,,,okb,42,OKB,OKB,$52.09,$3.13B,Marketplaces,Exchange,"['CeFi', 'Centralized Exchange']",100,Protocol,Marketplaces,
27,BlackRock USD Institutional Digital Liquidity Fund,BUIDL,0x7712c34205737192402172409a8f7ccef8aa2aec,,,buidl,1547,buidl,buidl,$0.00,$4.65M,,,,60,,,
28,BlackRock USD Institutional Digital Liquidity Fund - I Class,BUIDL-I,0x6a9da2d710bb9b700acde7cb81f10f1ff8c89041,,,buidl-i,,,,,,,,,0,,,
29,Jito Staked SOL (IBC),jitoSOL,0xbe90556468e5ee2a15da99a5c0e045ed0b142143,,,jitosol,41,Jito Staked SOL,jitosol,$206.44,$3.14B,Synthetic Assets,Liquid Staking Tokens,,100,Synthetic,Liquid Staking Tokens,
30,Ondo,ONDO,0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3,NEUTRAL,['DeFi'],ondo,43,Ondo Finance,ONDO,$0.92,$2.93B,Synthetic Assets,Real World Assets,['DeFi'],100,Synthetic,Others,
31,Savings USDS,sUSDS,0xa3931d71877c0e7a3148cb7eb4463524fec27fbd,,,susds,62,sUSDS,susds,$1.05,$1.94B,Cryptocurrency,Stablecoins,"['DeFi', 'U.S. Dollar Stablecoin']",89,Cryptocurrency,Stablecoins,
32,Spark USDC Vault,sUSDC,0xbc65ad17c5c0a2a4d159fa5a503f4992c7b545fe,,,susdc,,,,,,,,,0,,,
33,GateChainToken,GT,0xe66747a101bff2dba3697199dcce5b743b454759,,,gt,49,GateToken,GT,$21.22,$2.58B,Marketplaces,Exchange,"['CeFi', 'Centralized Exchange']",71,Protocol,Marketplaces,
34,Mantle,MNT,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,OK,['Blockchain'],mnt,53,Mantle Network,MNT,$0.73,$2.45B,Networks,Scaling Solutions,"['Ethereum Layer-2', 'EVM']",100,Protocol,Networks,
35,Wrapped TRUMP,WTRUMP,0x418708dd507a2f0cac24d31c60b350315f4c8009,,,wtrump,,,,,,,,,0,,,
36,Fetch,FET,0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,NEUTRAL,['Artificial Intelligence'],fet,60,Fetch.ai,FET,$0.82,$1.98B,Compute Networks,Machine Learning,"['A.I.', 'Application Specific Chain']",100,Protocol,Others,
37,VeChain,VEN,0xd850942ef8811f2a866692a623011bde52a462c1,,,ven,55,VeChain,VET,$0.03,$2.32B,Networks,Smart Contract Platform,[],,Protocol,Networks,
38,Render Token,RNDR,0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,NEUTRAL,,rndr,54,Render,RENDER,$4.60,$2.39B,Compute Networks,Streaming and Rendering,"['A.I.', 'DePIN']",,Protocol,Others,
39,Ethena,ENA,0x57e114b691db790c35207b2e685d4a43181e6061,NEUTRAL,['DeFi'],ena,57,Ethena,ENA,$0.36,$2.11B,Cryptocurrency,Stablecoins,"['Decentralized Issuer', 'DeFi']",100,Cryptocurrency,Stablecoins,
40,Polygon Ecosystem Token,POL,0x455e53cbb86018ac2b8092fdcd39d8444affc3f6,OK,['Polygon'],pol,59,Polygon Ecosystem Token,POL,$0.23,$2.05B,Networks,Smart Contract Platform,"['Ethereum Layer-2', 'EVM']",100,Protocol,Networks,
41,Lombard Staked BTC,LBTC,0x8236a87084f8b84306f72007f36f2618a5634494,,,lbtc,61,Lombard Staked BTC,LBTC,"$107,517.06",$1.95B,Financial Services,Yield Services,"['DeFi', 'Liquid Staking']",100,Protocol,Financial Services,
42,Worldcoin,WLD,0x163f8c2467924be0ae7b5347228cabf260318753,NEUTRAL,['Identity'],wld,58,World Network,WLD,$1.36,$2.07B,Consumer Infrastructure,"Identity, Reputation, and Credentialing","['A.I.', 'Governance Token']",71,Protocol,Others,
43,Arbitrum,ARB,0xb50721bcf8d664c30412cfbc6cf7a15145234ad1,OK,['Arbitrum'],arb,64,Arbitrum,ARB,$0.38,$1.87B,Networks,Scaling Solutions,"['Ethereum Layer-2', 'EVM']",100,Protocol,Networks,
44,Wrapped Filecoin,WFIL,0x6e1a19f235be7ed8e3369ef73b196c07257494de,,,wfil,,,,,,Synthetic Assets,Wrapped Assets,,,Synthetic,Wrapped Assets,
45,Cosmos,ATOM,0x8d983cb9388eac77af0474fa441c4815500cb7bb,,,atom,67,Cosmos,ATOM,$4.65,$1.83B,Networks,Layer-0,"['Cosmos SDK', 'Governance Token']",100,Protocol,Networks,
46,Cosmos Hub (IBC),ATOM,0x519ddeff5d142fc177d95f24952ef3d2ede530bc,,,atom,67,Cosmos,ATOM,$4.65,$1.83B,Networks,Layer-0,"['Cosmos SDK', 'Governance Token']",100,Protocol,Networks,
47,Quant,QNT,0x4a220e6096b25eadb88358cb44068a3248254675,NEUTRAL,['Finance'],qnt,87,Quant,QNT,$94.58,$1.15B,Cross-Chain Interoperability,Generalized Bridge,,100,Protocol,Generalized Bridge,
48,First Digital USD,FDUSD,0xc5f0f7b66764f6ec8c8dff7ba683102295e16409,,,fdusd,68,First Digital USD,FDUSD,$1.00,$1.64B,Cryptocurrency,Stablecoins,"['Centralized Issuer', 'U.S. Dollar Stablecoin']",100,Cryptocurrency,Stablecoins,
49,BounceBit BTC,BBTC,0xf5e11df1ebcf78b6b6d26e04ff19cd786a1e81dc,,,bbtc,,,,,,,,,0,,,
50,KuCoin Token,KCS,0xf34960d9d60be18cc1d5afc1a6f012a723a28811,,,kcs,75,KuCoin,KCS,$11.17,$1.40B,Marketplaces,Exchange,"['CeFi', 'Centralized Exchange']",100,Protocol,Marketplaces,
51,Bonk (IBC),BONK,0x4aef9bd3fbb09d8f374436d9ec25711a1be9bacb,,,bonk,70,Bonk,BONK,$0.00,$1.61B,Cryptocurrency,Cryptocurrency,"['Dog-Themed', 'Meme']",100,Cryptocurrency,Cryptocurrency,
52,Injective Token,INJ,0xe28b3b32b6c345a34ff64674606124dd5aceca30,NEUTRAL,['DEX'],inj,81,Injective Protocol,INJ,$12.78,$1.26B,Networks,Smart Contract Platform,"['Application Specific Chain', 'DAO']",80,Protocol,Networks,
53,Rocket Pool ETH,rETH,0xae78736cd615f374d3085123a210448e74fc6393,NEUTRAL,"['Liquid staking', 'Protocol']",reth,85,Rocket Pool ETH,RETH,"$2,820.73",$1.17B,Synthetic Assets,Liquid Staking Tokens,['Ethereum Liquid Staking Asset'],100,Synthetic,Liquid Staking Tokens,
54,Virtual Protocol,VIRTUAL,0x44ff8620b8ca30902395a7bd3f2407e1a091bf73,,,virtual,79,Virtuals Protocol,VIRTUAL,$1.91,$1.27B,Developer Tooling,Automation,"['A.I.', 'AI Agents']",94,Protocol,Others,
55,rsETH,rsETH,0xa1290d69c65a6fe4df752f95823fae25cb99e5a7,NEUTRAL,['Liquid staking'],rseth,78,Kelp DAO Restaked ETH,rseth,"$2,598.72",$1.27B,Synthetic Assets,Liquid Staking Tokens,"['DeFi', 'Ethereum Liquid Staking Asset']",75,Synthetic,Liquid Staking Tokens,
56,SPX6900,SPX,0xe0f63a424a4439cbe457d80e4f4b51ad25b2c56c,NEUTRAL,['MEME'],spx,109,SPX6900,spx,$0.88,$823M,Cryptocurrency,Cryptocurrency,['Meme'],100,Cryptocurrency,Cryptocurrency,
57,SEI,SEI,0xbdf43ecadc5cef51b7d1772f722e40596bc1788b,,,sei,86,Sei Network,SEI,$0.22,$1.17B,Networks,Smart Contract Platform,"['EVM', 'Proof-of-Stake']",50,Protocol,Networks,
58,Sei (IBC),SEI,0x013addc6512432304c055cec20bbb0f6aa5ed7d5,,,sei,86,Sei Network,SEI,$0.22,$1.17B,Networks,Smart Contract Platform,"['EVM', 'Proof-of-Stake']",62,Protocol,Networks,
59,Immutable X,IMX,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,NEUTRAL,['DeFi'],imx,88,Immutable X,IMX,$0.62,$1.14B,Metaverse and Gaming,Gaming,"['DAO', 'Ethereum Layer-2']",100,Protocol,Metaverse and Gaming,
60,Maker,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,OK,"['Sky', 'DAO', '0x Protocol Ecosystem', 'DeFi']",mkr,92,Maker,MKR,"$1,612.49",$1.02B,Marketplaces,Lending,"['CDP', 'DAO']",100,Protocol,Marketplaces,
61,mETH,mETH,0xd5f7838f5c461feff7fe49ea5ebaf7728bb0adfa,NEUTRAL,"['Mantle', 'Liquid staking']",meth,97,Mantle Staked Ether,meth,"$2,649.41",$915M,Synthetic Assets,Liquid Staking Tokens,"['DeFi', 'Ethereum Liquid Staking Asset']",25,Synthetic,Liquid Staking Tokens,
62,dogwifhat (IBC),WIF,0xcf7e6742266ad5a76ee042e26d3f766c34195e5f,,,wif,90,dogwifhat,WIF,$1.07,$1.08B,Cryptocurrency,Cryptocurrency,"['Dog-Themed', 'Meme']",100,Cryptocurrency,Cryptocurrency,
63,Staked ETH,osETH,0xf1c9acdc66974dfb6decb12aa385b9cd01190e38,,,oseth,114,StakeWise v3 osETH,oseth,"$2,607.10",$771M,Synthetic Assets,Liquid Staking Tokens,,67,Synthetic,Liquid Staking Tokens,
64,Graph Token,GRT,0xc944e90c64b2c07662a292be6244bdf05cda44a7,NEUTRAL,['Data'],grt,93,The Graph,GRT,$0.11,$1.01B,Data,Indexing,"['API', 'DePIN']",71,Protocol,Others,
65,Curve DAO Token,CRV,0xd533a949740bb3306d119cc777fa900ba034cd52,OK,"['curve.finance', 'DeFi']",crv,94,Curve,CRV,$0.74,$1.01B,Marketplaces,Exchange,"['Automated Market Maker (AMM)', 'Curve Finance Ecosystem']",100,Protocol,Marketplaces,
66,ezETH,Renzo Restaked ETH,0xbf5495efe5db9ce00f80364c8b423567e58d2110,NEUTRAL,['Liquid staking'],renzo restaked eth,106,Renzo Restaked ETH,ezeth,"$2,628.05",$833M,Synthetic Assets,Liquid Staking Tokens,['Restaking'],,Synthetic,Liquid Staking Tokens,
67,Dexe,DEXE,0xde4ee8057785a7e8e800db58f9784845a5c2cbd6,,,dexe,124,DeXe,DEXE,$12.17,$697M,Investment Management,Asset Managers,"['DAO', 'DeFi']",75,Protocol,Others,
68,Tether Gold,XAUt,0x68749665ff8d2d112fa859aa293f07a622782f38,,,xaut,107,Tether Gold,XAUT,"$3,360.89",$828M,Cryptocurrency,Stablecoins,"['Centralized Issuer', 'Non-U.S. Dollar Stablecoin']",100,Cryptocurrency,Stablecoins,
69,Jupiter Staked SOL (IBC),jupSOL,0x5cd8cd3c5e8780ccbc74277f22b099fefd04f5ef,,,jupsol,101,Jupiter Staked SOL,jupsol,$190.40,$881M,Synthetic Assets,Liquid Staking Tokens,['Stakeable'],100,Synthetic,Liquid Staking Tokens,
70,FLOKI,FLOKI,0xcf0c122c6b73ff809c693db761e7baebe62b6a2e,NEUTRAL,['MEME'],floki,96,FLOKI,FLOKI,$0.00,$932M,Cryptocurrency,Cryptocurrency,"['Dog-Themed', 'Meme']",100,Cryptocurrency,Cryptocurrency,
71,clBTC,clBTC,0xe7ae30c03395d66f30a26c49c91edae151747911,,,clbtc,,,,,,,,,0,,,
72,Paxos Gold,PAXG,0x45804880de22913dafe09f4980848ece6ecbaf78,NEUTRAL,"['Gold', 'Tokenized Asset']",paxg,112,PAX Gold,PAXG,"$3,367.78",$805M,Cryptocurrency,Cryptocurrency,['Centralized Issuer'],77,Cryptocurrency,Cryptocurrency,
73,Nexo,NEXO,0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206,OK,"['Nexo', 'Loans']",nexo,80,Nexo,NEXO,$1.27,$1.27B,Marketplaces,Exchange,"['CeFi', 'SEC Alleged Securities']",100,Protocol,Marketplaces,
74,PancakeSwap Token,Cake,0x152649ea73beab28c5b49b26eb48f7ead6d4c898,OK,"['PancakeSwap', 'DeFi', 'DEX']",cake,116,PancakeSwap,CAKE,$2.33,$756M,Marketplaces,Exchange,"['Automated Market Maker (AMM)', 'Decentralized Exchange']",100,Protocol,Marketplaces,
75,Theta Token,THETA,0x3883f5e181fccaf8410fa61e12b59bad963fb645,,,theta,103,Theta Network,THETA,$0.85,$851M,Compute Networks,Streaming and Rendering,"['DePIN', 'Proof-of-Stake']",74,Protocol,Others,
76,Lido DAO Token,LDO,0x5a98fcbea516cf06857215779fd812ca3bef1b32,NEUTRAL,['Lido'],ldo,115,Lido DAO,LDO,$0.85,$770M,Mining and Validation,Liquid Staking,"['DAO', 'DeFi']",100,Protocol,Liquid Staking,
77,(Wormhole),,0x756bfb452cfe36a5bc82e4f5f4261a89a18c242b,,,,,,,,,,,,0,,,
78,Marinade Staked SOL (IBC),mSOL,0xda7fa7248f62e051cca4af2522439a61d3976462,,,msol,95,Marinade staked SOL,MSOL,$222.08,$939M,Synthetic Assets,Liquid Staking Tokens,,95,Synthetic,Liquid Staking Tokens,
79,Ethereum Name Service,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,OK,['ENS'],ens,121,Ethereum Name Service,ENS,$21.61,$719M,Networking and Web Services,Domain Name System (DNS),"['DAO', 'Governance Token']",100,Protocol,Others,
80,Pendle,PENDLE,0x808507121b80c02388fad14726482e061b8da827,OK,"['Pendle', 'DeFi', 'DEX']",pendle,123,Pendle,PENDLE,$4.32,$706M,Financial Services,Yield Services,"['DeFi', 'Derivatives']",100,Protocol,Financial Services,
81,SAND,SAND,0x3845badade8e6dff049820680d1f14bd3903a5d0,NEUTRAL,"['Gaming', 'NFT']",sand,119,The Sandbox,SAND,$0.30,$740M,Metaverse and Gaming,Metaverse,"['Gaming Platform', 'NFTs']",25,Protocol,Metaverse and Gaming,
82,BitTorrent,BTT,0xc669928185dbce49d2230cc9b0979be6dc797957,,,btt,122,BitTorrent,BTT,$0.0₆716,$707M,Node Tooling,Hosting,['SEC Alleged Securities'],100,Protocol,Others,
83,USDX,USDX,0xf3527ef8de265eaa3716fb312c12847bfba66cef,,,usdx,,,,,,Cryptocurrency,Stablecoins,,0,,,
84,Ondo Short-Term U.S. Government Bond Fund,OUSG,0x1b19c19393e2d034d8ff31ff34c81252fcbbee92,,,ousg,,,,,,,,,0,,,
85,Usual USD,USD0,0x73a15fed60bf67631dc6cd7bc5b6e8da8190acf5,,,usd0,128,Usual USD,usd0,$1.00,$638M,Cryptocurrency,Stablecoins,,100,,,
86,xSolvBTC,xSolvBTC,0xd9d920aa40f578ab794426f5c90f6c731d159def,,,xsolvbtc,,,,,,Synthetic Assets,Liquid Staking Tokens,,0,,,
87,Polyhedra Network,ZKJ,0xc71b5f631354be6853efe9c3ab6b9590f8302e81,NEUTRAL,['Computing'],zkj,130,Polyhedra Network,ZKJ,$2.04,$629M,Networks,Scaling Solutions,"['Privacy', 'Zero Knowledge (Validity Proofs)']",100,Protocol,Networks,
88,ApeCoin,APE,0x4d224452801aced8b2f0aebe155379bb5d594381,NEUTRAL,"['DAO', 'NFT']",ape,140,ApeCoin,APE,$0.64,$510M,Entertainment,Collectibles and Digital Goods,"['DAO', 'Governance Token']",100,Protocol,Others,
89,Wrapped Flow,WFLOW,0x5c147e74d63b1d31aa3fd78eb229b65161983b2b,,,wflow,,,,,,Synthetic Assets,Wrapped Assets,,,Synthetic,Wrapped Assets,
90,Ondo U.S. Dollar Yield,USDY,0x96f6ef951840721adbf46ac996b59e0235cb985c,,,usdy,135,Ondo US Dollar Yield,USDY,$1.09,$584M,Cryptocurrency,Stablecoins,,90,Cryptocurrency,Stablecoins,
91,Falcon USD,USDf,0xfa2b947eec368f42195f24f36d2af29f7c24cec2,,,usdf,177,Falcon Finance,usdf,$1.00,$380M,Cryptocurrency,Stablecoins,['U.S. Dollar Stablecoin'],82,,,
92,cmETH,cmETH,0xe6829d9a7ee3040e1276fa75293bde931859e8fa,,,cmeth,,,,,,,,,0,,,
93,Decentraland,MANA,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,NEUTRAL,"['Decentraland', 'VR']",mana,134,Decentraland,MANA,$0.30,$603M,Metaverse and Gaming,Metaverse,"['DAO', 'Game']",100,Protocol,Metaverse and Gaming,
94,Wrapped Decentraland MANA,wMANA,0xfd09cf7cfffa9932e33668311c4777cb9db3c9be,,,wmana,,,,,,Synthetic Assets,Wrapped Assets,,,Synthetic,Wrapped Assets,
95,Onyxcoin,XCN,0xa2cd3d43c775978a96bdbf12d733d5a1ed94fb18,NEUTRAL,"['Blockchain', 'Liquidity', 'Protocol']",xcn,133,Onyx,XCN,$0.02,$611M,Marketplaces,Lending,"['Decentralized Lender', 'DeFi']",100,Protocol,Marketplaces,
96,tBTC v2,tBTC,0x18084fba666a33d37592fa2633fd49a74dd93a88,NEUTRAL,"['Bitcoin Pegged', 'DeFi']",tbtc,144,tBTC,TBTC,"$107,233.38",$489M,Synthetic Assets,Real World Assets,"['DeFi', 'Wrapped Bitcoin Asset']",100,Synthetic,Others,
97,TrueUSD,TUSD,0x0000000000085d4780b73119b644ae5ecd22b376,,,tusd,143,TrueUSD,TUSD,$1.00,$495M,Cryptocurrency,Stablecoins,"['Centralized Issuer', 'U.S. Dollar Stablecoin']",100,Cryptocurrency,Stablecoins,
98,Starknet Token,STRK,0xca14007eff0db1f8135f4c25b34de49ab0d42766,NEUTRAL,['Layer 2'],strk,149,Starknet,STRK,$0.15,$472M,Networks,Scaling Solutions,"['Ethereum Layer-2', 'Zero Knowledge (Validity Proofs)']",100,Protocol,Networks,
99,Eigen,EIGEN,0xec53bf9167f50cdeb3ae105f56099aaab9061f83,OK,"['DeFi', 'Liquid staking']",eigen,169,EigenLayer,EIGEN,$1.35,$409M,Mining and Validation,Liquid Staking,"['DeFi', 'Ethereum Liquid Staking Asset']",100,Protocol,Liquid Staking,
100,Kava.io,KAVA,0x0c356b7fd36a5357e5a017ef11887ba100c9ab76,,,kava,158,Kava,KAVA,$0.41,$446M,Networks,Smart Contract Platform,"['Cosmos SDK', 'EVM']",100,Protocol,Networks,
101,Aethir Token,ATH,0xbe0ed4138121ecfc5c0e56b40517da27e6c5226b,NEUTRAL,"['Artificial Intelligence', 'Gaming']",ath,165,Aethir,ATH,$0.05,$428M,Compute Networks,General Compute,"['A.I.', 'DePIN']",100,Protocol,Others,
102,Syrup Token,SYRUP,0x643c4e15d7d62ad0abec4a9bd4b001aa3ef52d66,,,syrup,147,Maple,SYRUP,$0.44,$477M,Marketplaces,Lending,['DeFi'],29,Protocol,Marketplaces,
103,APENFT,NFT,0x198d14f2ad9ce69e76ea330b374de4957c3f850a,,,nft,163,APENFT,NFT,$0.0₆435,$430M,Marketplaces,Exchange,['NFTs'],100,Protocol,Marketplaces,
104,ether.fi ETH,eETH,0x35fa164735182de50811e8e2e824cfb9b6118ac2,NEUTRAL,"['DeFi', 'Liquid staking']",eeth,172,ether.fi Staked ETH,EETH,"$2,508.27",$397M,Synthetic Assets,Liquid Staking Tokens,"['DeFi', 'Ethereum Liquid Staking Asset']",86,Synthetic,Liquid Staking Tokens,
105,pumpBTC,pumpBTC,0xf469fbd2abcd6b9de8e169d128226c0fc90a012e,,,pumpbtc,,,,,,Synthetic Assets,Liquid Staking Tokens,,,Synthetic,Liquid Staking Tokens,
106,AIOZ Network,AIOZ,0x626e8036deb333b408be468f951bdb42433cbf18,NEUTRAL,['Media'],aioz,141,AIOZ Network,AIOZ,$0.43,$502M,Networking and Web Services,Cloud Platforms,"['A.I.', 'DePIN']",100,Protocol,Others,
107,Compound,COMP,0xc00e94cb662c3520282e6f5717214004a7f26888,OK,"['Compound', 'DAO', 'Loans']",comp,178,Compound,COMP,$41.75,$379M,Marketplaces,Lending,"['DAO', 'Decentralized Lender']",100,Protocol,Marketplaces,
108,Reserve Rights,RSR,0x320623b8e4ff03373931769a31fc52a4e78b5d70,NEUTRAL,"['Reserve Protocol', 'Stablecoin']",rsr,145,Reserve Protocol,RSR,$0.01,$488M,Synthetic Assets,Collateral Assets,['DeFi'],73,Synthetic,Collateral Assets,
109,Axie Infinity Shard,AXS,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,NEUTRAL,"['Axie Infinity', 'Gaming']",axs,156,Axie Infinity,AXS,$2.77,$448M,Metaverse and Gaming,Gaming,"['DAO', 'Game']",100,Protocol,Metaverse and Gaming,
110,US Yield Coin,USYC,0x136471a34f6ef19fe571effc1ca711fdb8e49f2b,,,usyc,,,,,,Synthetic Assets,Wrapped Assets,,,Synthetic,Wrapped Assets,
111,Telcoin,TEL,0x467bccd9d29f223bce8043b84e8c8b282827790f,NEUTRAL,"['Remittance ', 'Mobile']",tel,166,Telcoin,TEL,$0.00,$421M,Financial Services,Payments,['Stakeable'],100,Protocol,Financial Services,
